codigo,familia,proveedor,contenido_peso,contenido_cantidad,detalle,fecha_actualizacion_costo,costo_usd,costo_ars,costo_unitario_ars,color_origen
306ETB,ETIQUETA,ELGART,1,204,ETIQUETA XLII Negro octogonal tornasol,,3.72,2752.8,13.494117647058824,GRIS
307ETB,ETIQUETA,ELGART,1,204,ETIQUETA XLI Plata octogonal tornasol,,3.72,2752.8,13.494117647058824,GRIS
308ETB,ETIQUETA,ELGART,1,204,ETIQUETA XL Champagne octogonal,,3.72,2752.8,13.494117647058824,GRIS
309ETB,ETIQUETA,ELGART,1,204,ETIQUETA XXXIX Fucsia octogonal,,3.72,2752.8,13.494117647058824,GRIS
310ETB,ETIQUETA,ELGART,1,204,ETIQUETA XXXVIII Azul octogonal,,3.72,2752.8,13.494117647058824,GRIS
311ETB,ETIQUETA,ELGART,1,204,ETIQUETA XXXVII Glitter turquesa tornasol,,3.72,2752.8,13.494117647058824,GRIS
312ETB,ETIQUETA,ELGART,1,204,ETIQUETA LASSER XXXVI Glitter fucsia,,3.72,2752.8,13.494117647058824,GRIS
313ETB,ETIQUETA,ELGART,1,204,ETIQUETA LASSER XXXV Violeta,,3.72,2752.8,13.494117647058824,GRIS
314ETB,ETIQUETA,ELGART,1,204,ETIQUETA LASSER XXXIV Azul,,3.72,2752.8,13.494117647058824,GRIS
315ETB,ETIQUETA,ELGART,1,204,ETIQUETA LASSER XXXIII Turquesa,,3.72,2752.8,13.494117647058824,GRIS
316ETB,ETIQUETA,ELGART,1,204,ETIQUETA LASSER XXXII Rosa,,3.72,2752.8,13.494117647058824,GRIS
317ETB,ETIQUETA,ELGART,1,204,ETIQUETA LASSER XXXI Magenta,,3.72,2752.8,13.494117647058824,GRIS
318ETB,ETIQUETA,ELGART,1,204,ETIQUETA LASSER XXX Plata,,3.72,2752.8,13.494117647058824,GRIS
319ETB,ETIQUETA,ELGART,1,204,ETIQUETA LASSER XXIX Negro,,3.72,2752.8,13.494117647058824,GRIS
331ETB,ETIQUETA,ELGART,1,204,ETIQUETA LASSER XXVIII Cobre,,3.72,2752.8,13.494117647058824,GRIS
332ETB,ETIQUETA,ELGART,1,204,ETIQUETA LASSER XXVII Verde,,3.72,2752.8,13.494117647058824,GRIS
333ETB,ETIQUETA,ELGART,1,204,ETIQUETA LASSER XXVI Oro,,3.72,2752.8,13.494117647058824,GRIS
334ETB,ETIQUETA,ELGART,1,204,ETIQUETA LASSER XXV Celeste Oscuro,,3.72,2752.8,13.494117647058824,GRIS
122ENV,ENVASE,DANO,1,1344,ENVASES NEGRO 5ml. GEL PAINT,2024-11-28,251,386540,386.54,ROJO
122PIN,DOMES,ELGART,,1,ETIQUETA TIPO PIN GEL PAINT BLANCO,,,16,16,GRIS
123PIN,DOMES,ELGART,,1,ETIQUETA TIPO PIN GEL PAINT NEGRO,,,16,16,GRIS
124PIN,DOMES,ELGART,,1,ETIQUETA TIPO PIN GEL PAINT PLATEADO,,,16,16,GRIS
125PIN,DOMES,ELGART,,1,ETIQUETA TIPO PIN GEL PAINT AMARILLO,,,16,16,GRIS
126PIN,DOMES,ELGART,,1,ETIQUETA TIPO PIN GEL PAINT FUCCIA,,,16,16,GRIS
127PIN,DOMES,ELGART,,1,ETIQUETA TIPO PIN GEL PAINT ROJO,,,16,16,GRIS
128PIN,DOMES,ELGART,,1,ETIQUETA TIPO PIN GEL PAINT VERDE,,,16,16,GRIS
129PIN,DOMES,ELGART,,1,ETIQUETA TIPO PIN GEL PAINT AZUL,,,16,16,GRIS
171PIN,DOMES,ELGART,,1,ETIQUETA TIPO PIN GEL PAINT DORADO,,,16,16,GRIS
122GEL,GEL,KEYSTONE,1,1,GEL BLANCO,,84,123900,123900,GRIS
123GEL,GEL,KEYSTONE,1,1,GEL NEGRO,,84,123900,123900,GRIS
124GEL,GEL,KEYSTONE,1,1,GEL PLATEADO,,84,123900,123900,GRIS
125GEL,GEL,KEYSTONE,1,1,GEL AMARILLO,,84,123900,123900,GRIS
126GEL,GEL,KEYSTONE,1,1,GEL FUCCIA,,84,123900,123900,GRIS
127GEL,GEL,KEYSTONE,1,1,GEL  ROJO,,84,123900,123900,GRIS
128GEL,GEL,KEYSTONE,1,1,GEL VERDE,,84,123900,123900,GRIS
129GEL,GEL,KEYSTONE,1,1,GEL AZUL,,84,123900,123900,GRIS
171GEL,GEL,KEYSTONE,1,1,GEL DORADO,,84,123900,123900,GRIS
130ENV,ENVASE,CRISTALMAN,10,1,ENVASE 10ml.  TOP CAJA x 390,2025-01-08,,139.5,139.5,ROJO
130ET,ETIQUETA,ELGART,1,114,ETIQUETA TOP COAT,,3.72,2752.8,24.147368421052633,GRIS
130TOP,TOP COAT,KEYSTONE,1,1,MP TOP COAT,,242.7090121115122,357995.7928644805,357995.7928644805,GRIS
131ET,ETIQUETA,ELGART,1,195,ETIQUETA ACEITE DE CUTICULA,,3.72,2752.8,14.116923076923078,GRIS
131AC,ACEITE,MAHO,1,1,MP ACEITE DE CUTICULA,2022-05-31,,3888,3888,GRIS
132CRE,CREMA,MAHO,1,,CREMA HUMECTANTE,,,156,156,GRIS
132ET,ETIQUETA,ELGART,1,16,ETIQUETA CREMA HUMECTANTTE,,3.72,2752.8,172.05,GRIS
133CRE,CREMA,MAHO,1,,CREMA EXFOLIANTE,,,184,184,GRIS
133ET,ETIQUETA,ELGART,1,16,ETIQUETA CREMA EXFOLIANTE,,3.72,2752.8,172.05,GRIS
134CRE,CREMA,MAHO,1,,CREMA GERMEN DE TRIGO,,,316,316,GRIS
134ET,ETIQUETA,ELGART,1,16,ETIQUETA CREMA GERMEN DE TRIGO,,3.72,2752.8,172.05,GRIS
136ET,ETIQUETA,ELGART,1,195,ETIQUETA NAIL PREP,,3.72,2752.8,14.116923076923078,GRIS
136PRE,NAIL PREP,EUMA,1,1,MP NAIL PREP (ACETATO DE BUTILO),2023-08-14,15.5,22862.5,22862.5,GRIS
136PRE,ACETATO DE BUTILO,LADCO LAB,1,1,ACETATO DE BUTILO,2026-02-20,2.9,4277.5,4277.5,GRIS
137ET,ETIQUETA,ELGART,1,195,ETIQUETA ADHESIVO FOIL,,3.72,1767,110.4375,GRIS
137AD,ADHESIVO,CENTER GRAPH,1,1,MP ADHESIVO FOIL,2024-01-03,,16758,16758,GRIS
135ENV,ENVASE,PLASMARE,200,1,ENVASE 200ml. SANITIZANTE,2021-09-30,0.124,182.9,182.9,ROJO
391ENV,ENVASE,PIROPLAST,200,1,LISBOA CRISTAL 200ml.,2024-06-06,0.175,258.125,258.125,ROJO
135GAT,GATILLO,VABARLIN,,1,GATILLOS VAPORIZADORES,2023-12-15,0.35,516.25,516.25,ROJO
135GAT,GATILLO,DISTRIBUIDORA V.R. SRL (VAN ROSSUM),,1,"GATILLOS VAPORIZADORES + FLETE $45,900",2023-12-16,,163.413775,163.413775,ROJO
135GAT,GATILLO,AMP SPRAY,,1,GATILLOS VAPORIZADORES,2026-03-17,,240.95,240.95,ROJO
320TAP,TAPA,ENTAPLAST,,1,TAPA ALTERNATIVA SANITIZANTE,2023-12-15,,30.6,30.6,ROJO
320TAPA,TAPA,ENTAPLAST,,1,TAPA ALTERNATIVA BLANCA SANITIZANTE,2025-02-12,,33,33,ROJO
135SAN,ALCOHOL,MAHO,1,1,SANITIZANTE,,,464.1,464.1,VERDE
391MO,ALCOHOL + MO,SAN JOSE,200,1,SANITIZANTE + ENVASADO,2025-02-19,,964.06,964.06,VERDE
392MO,ALCOHOL + MO,SAN JOSE,125,1,SANITIZANTE + ENVASADO,2025-03-07,,848.76,848.76,VERDE
135GLI,GLICERINA,MV (mercado libre),10,1,GLICERINA PARA SANI,2026-04-07,,6370,6370,VERDE
135ALOE,GLICOLICO,EUMA,1,1,EXTRACTO GLICOLICO ALOE VERA,2025-11-11,28.22,41624.5,41624.5,VERDE
135AGUA,AGUA DESINIZADA,DI FRANCO PABLO ERNESTO,10,1,AGUA DESIONIZADA,2025-11-11,,5000,500,VERDE
135PRO,PROPILENGLICOL,LADCO LAB,1,1,PROPILENGLICOL USP,2025-11-11,4,5900,5900,VERDE
135FRA1,FRAGANCIA,AROMATICA,1000,1,FRAGANCIA 34764 AMOR,2026-06-29,37.2,54870.00000000001,54870.00000000001,VERDE
