codigo,familia,proveedor,contenido_peso,contenido_cantidad,detalle,fecha_actualizacion_costo,costo_usd,costo_ars,costo_unitario_ars,color_origen
146ET,ETIQUETA,ELGART,1,204,ETIQUETA PIGMENTO V cobre,,3.72,2752.8,13.494117647058824,AMARILLO
147ET,ETIQUETA,ELGART,1,204,ETIQUETA PIGMENTO VI turquesa,,3.72,2752.8,13.494117647058824,AMARILLO
148ET,ETIQUETA,ELGART,1,204,ETIQUETA PIGMENTO VII rosa oscuro,,3.72,2752.8,13.494117647058824,AMARILLO
149ET,ETIQUETA,ELGART,1,204,ETIQUETA PIGMENTO VIII azul,,3.72,2752.8,13.494117647058824,AMARILLO
150ET,ETIQUETA,ELGART,1,204,ETIQUETA PIGMENTO IX bronce oscuro,,3.72,2752.8,13.494117647058824,AMARILLO
151ET,ETIQUETA,ELGART,1,204,ETIQUETA PIGMENTO X rosa neon,,3.72,2752.8,13.494117647058824,AMARILLO
152ET,ETIQUETA,ELGART,1,204,ETIQUETA PIGMENTO XI verde neon,,3.72,2752.8,13.494117647058824,AMARILLO
153ET,ETIQUETA,ELGART,1,204,ETIQUETA PIGMENTO XII naranja neon,,3.72,2752.8,13.494117647058824,AMARILLO
154ET,ETIQUETA,ELGART,1,204,ETIQUETA PIGMENTO XIII magenta neon,,3.72,2752.8,13.494117647058824,AMARILLO
155ET,ETIQUETA,ELGART,1,204,ETIQUETA PIGMENTO XIV amarillo neon,,3.72,2752.8,13.494117647058824,AMARILLO
156ET,ETIQUETA,ELGART,1,204,ETIQUETA PIGMENTO XV azul oscuro,,3.72,2752.8,13.494117647058824,AMARILLO
157ET,ETIQUETA,ELGART,1,204,ETIQUETA PIGMENTO XVI verde oscuro,,3.72,2752.8,13.494117647058824,AMARILLO
158ET,ETIQUETA,ELGART,1,204,ETIQUETA PIGMENTO XVII violeta,,3.72,2752.8,13.494117647058824,AMARILLO
159ET,ETIQUETA,ELGART,1,204,ETIQUETA PIGMENTO XVIII naranja,,3.72,2752.8,13.494117647058824,AMARILLO
160ET,ETIQUETA,ELGART,1,204,ETIQUETA PIGMENTO XIX dorado,,3.72,2752.8,13.494117647058824,AMARILLO
161ET,ETIQUETA,ELGART,1,204,ETIQUETA PIGMENTO XX oro,,3.72,2752.8,13.494117647058824,AMARILLO
162ET,ETIQUETA,ELGART,1,204,ETIQUETA PIGMENTO XXI plata,,3.72,2752.8,13.494117647058824,AMARILLO
163ET,ETIQUETA,ELGART,1,204,ETIQUETA PIGMENTO XXII violeta oscuro,,3.72,2752.8,13.494117647058824,AMARILLO
164ET,ETIQUETA,ELGART,1,204,ETIQUETA PIGMENTO XXIII salmón neon,,3.72,2752.8,13.494117647058824,AMARILLO
165ET,ETIQUETA,ELGART,1,204,ETIQUETA PIGMENTO XXIV verde manzana,,3.72,2752.8,13.494117647058824,AMARILLO
328ET,ETIQUETA,ELGART,1,204,ETIQUETA PIGMENTO XXV camaleón lila,,3.72,2752.8,13.494117647058824,AMARILLO
329ET,ETIQUETA,ELGART,1,204,ETIQUETA PIGMENTO XXVI cobre anaranjado,,3.72,2752.8,13.494117647058824,AMARILLO
330ET,ETIQUETA,ELGART,1,204,ETIQUETA PIGMENTO XXVII cobre rojizo,,3.72,2752.8,13.494117647058824,AMARILLO
166SUG,SUGGAR,,1,1,SUGGAR XL Dorado lamé,2022-06-01,396,250000,250000,VERDE
167SUG,SUGGAR,,1,1,SUGGAR XLI Tornasol efecto verde/rosa,2022-05-13,,2314.05,2314.05,VERDE
168SUG,SUGGAR,,1,1,SUGGAR XLII Transparente,,,,,VERDE
287SUG,SUGGAR,,1,1,SUGGAR XLIII Tornasol efecto Violeta,,,,,VERDE
288SUG,SUGGAR,,1,1,SUGGAR XLIV Tornasol efecto Verde/Rosa X-Fino,,,,,VERDE
289SUG,SUGGAR,,1,1,SUGGAR XLV Tornasol efecto Violeta X-Fino,2023-12-12,,56000,56000,VERDE
290SUG,SUGGAR,,1,1,SUGGAR XLVI Turquesa,,,,,VERDE
291SUG,SUGGAR,,1,1,SUGGAR XLVII Verde Neon,,,110000,,VERDE
292SUG,SUGGAR,,1,1,SUGGAR XLVIII Amarillo Neon,,,,,VERDE
293SUG,SUGGAR,,1,1,SUGGAR XLIX Naranja Neon,,,,,VERDE
294SUG,SUGGAR,,1,1,SUGGAR L Fucsia Neon,,,,,VERDE
295SUG,SUGGAR,,1,1,SUGGAR LI Rosa Neon,,,,,VERDE
296SUG,SUGGAR,,1,1,SUGGAR LII Violeta,,,,,VERDE
297SUG,SUGGAR,,1,1,SUGGAR LIII Negro,,,,,VERDE
166ETT,ETIQUETA,ELGART,1,204,ETIQUETA SUGGAR TAPA,,3.72,2752.8,13.494117647058824,AMARILLO
166ET,ETIQUETA,ELGART,1,204,SUGGAR XL Dorado lamé,,3.72,2752.8,13.494117647058824,AMARILLO
167ET,ETIQUETA,ELGART,1,204,SUGGAR XLI Tornasol efecto verde/rosa,,3.72,2752.8,13.494117647058824,AMARILLO
168ET,ETIQUETA,ELGART,1,204,SUGGAR XLII Transparente,,3.72,2752.8,13.494117647058824,AMARILLO
287ET,ETIQUETA,ELGART,1,204,SUGGAR XLIII Tornasol efecto Violeta,,3.72,2752.8,13.494117647058824,AMARILLO
288ET,ETIQUETA,ELGART,1,204,SUGGAR XLIV Tornasol efecto Verde/Rosa X-Fino,,3.72,2752.8,13.494117647058824,AMARILLO
289ET,ETIQUETA,ELGART,1,204,SUGGAR XLV Tornasol efecto Violeta X-Fino,,3.72,2752.8,13.494117647058824,AMARILLO
290ET,ETIQUETA,ELGART,1,204,SUGGAR XLVI Turquesa,,3.72,2752.8,13.494117647058824,AMARILLO
291ET,ETIQUETA,ELGART,1,204,SUGGAR XLVII Verde Neon,,3.72,2752.8,13.494117647058824,AMARILLO
292ET,ETIQUETA,ELGART,1,204,SUGGAR XLVIII Amarillo Neon,,3.72,2752.8,13.494117647058824,AMARILLO
293ET,ETIQUETA,ELGART,1,204,SUGGAR XLIX Naranja Neon,,3.72,2752.8,13.494117647058824,AMARILLO
294ET,ETIQUETA,ELGART,1,204,SUGGAR L Fucsia Neon,,3.72,2752.8,13.494117647058824,AMARILLO
295ET,ETIQUETA,ELGART,1,204,SUGGAR LI Rosa Neon,,3.72,2752.8,13.494117647058824,AMARILLO
296ET,ETIQUETA,ELGART,1,204,SUGGAR LII Violeta,,3.72,2752.8,13.494117647058824,AMARILLO
297ET,ETIQUETA,ELGART,1,204,SUGGAR LIII Negro,,3.72,2752.8,13.494117647058824,AMARILLO
614BOL,BOLSA,CAPKELITOS,,,BOLSAS PARA PACK,2025-06-15,,288.06284000000005,288.06284000000005,AMARILLO
173,PINCEL,CENTURION,1.5,1,O-8 Pincel Oval Kolinsky N8 para acrílico,,,,11980.03609554977,VERDE
339,PINCEL,CENTURION,1.5,1,O-8 Pincel Oval Kolinsky N8 para acrílico PRO,,,,35567.8714508233,VERDE
174,PINCEL,CENTURION,1.5,1,F-7 Pincel Chato Kolinsky N7 para gel,,,,11145.346922276349,VERDE
175,PINCEL,CENTURION,1.5,1,F-4 Pincel Chato Kolinsky N4 para diseño,,4.1,6047.499999999999,9071.249999999998,VERDE
176,PINCEL,CENTURION,1.5,1,F-2 Pincel Chato Sintético N2 para diseño,,3.3,4867.5,7301.25,VERDE
177,PINCEL,CENTURION,1.5,1,R-4 Pincel Redondo Kolisnky N4 para diseño,,,,8746.98112887511,VERDE
178,PINCEL,CENTURION,1.5,1,R-3 Pincel Redondo Sintético N3 para diseño,,1.6,2360,2564.208401185771,VERDE
179,PINCEL,CENTURION,1.5,1,R-2 Pincel Redondo Kolinsky N2 para diseño,,,,8746.98112887511,VERDE
180,PINCEL,CENTURION,1.5,1,R-0 Pincel Liner Sintético N 0,,,,7477.258061780338,VERDE
181,PINCEL,CENTURION,1.5,1,"DT Dotting Tool, Punzón Doble punta",,,,1862.2604984056686,VERDE
470,PINCEL,CENTURION,,1,Nail Show Ombre Brush (RA-6),,,,3426.911203192456,VERDE
471,PINCEL,CENTURION,,1,Nail Show Fine Liner Brush (R-1),,,,2546.136557132535,VERDE
472,PINCEL,CENTURION,,1,Nail Show Fine Liner Brush (R-0),,,,2546.136557132535,VERDE
473,PINCEL,CENTURION,,1,Nail Show Fine Liner Brush (RL-0),,,,2546.136557132535,VERDE
474,PINCEL,CENTURION,,1,Nail Show Fine Liner Brush (R-Micro-0),,,,2546.136557132535,VERDE
475,PINCEL,CENTURION,,1,Nail Show Fine Liner Brush (R-000),,,,2546.136557132535,VERDE
231,LIMA,CENTURION,1.5,1,Lima 100/100,,0.34,641.2492069815273,641.2492069815273,VERDE
232,LIMA,CENTURION,1.5,1,Lima 150/150,,0.34,641.2492069815273,641.2492069815273,VERDE
233,LIMA,CENTURION,1.5,1,Lima 180/180,,0.34,641.2492069815273,641.2492069815273,VERDE
360,LIMA,CENTURION,1.5,1,Lima 220/220,,0.34,641.2492069815273,641.2492069815273,VERDE
234,LIMA,CENTURION,1.5,1,Lima/Buffer 180/180,,0.53,999.5943520594396,999.5943520594396,VERDE
235,LIMA,CENTURION,1.5,1,Lima/Buffer 100/180,,0.53,999.5943520594396,999.5943520594396,VERDE
236,LIMA,CENTURION,1.5,1,Buffer 100/180,,0.583,1099.5537872653836,1099.5537872653836,VERDE
237,LIMA,CENTURION,1.5,1,Buffer 220/280,,0.583,1099.5537872653836,1099.5537872653836,VERDE
238,LIMA,CENTURION,1.5,1,Lima Shinner  de brillo,,0.583,1099.5537872653836,1099.5537872653836,VERDE
240,LIBRO,XITIS SA,,,QUIMICA APLICADA PARA UÑAS,2022-07-18,3629.5106034932223,603,4232.510603493222,VERDE
241,LIBRO,XITIS SA,,,ENFERMEDADES DE MANOS Y PIES,2022-07-18,9558.313164754953,1588,11146.313164754953,VERDE
242,LIBRO,XITIS SA,,,CARA A CARA DE DOUG SCHOON VOLUMEN 1,2022-07-18,9901.401231751825,1645,11546.401231751825,VERDE
131ENV,ENVASE,DANO,,1,ENVASE TIPO GOTERO 30ml.,,0.656,1010.24,1010.24,ROJO
131ENV,ENVASE,GLAS CAR,,1,ENVASE TIPO GOTERO 30ml.,,,594.3,594.3,ROJO
340AC,VASELINA,SAPORITI (MAHO),1,1,Aceite para torno (VASELINA),2023-12-20,,6000,6000,VERDE
340AC,VASELINA,VASEPLUS,1,,Aceite para torno (VASELINA),2024-09-13,4,5900,5900,VERDE
340ET1,ETIQUETA,ELGART,1,72,ETIQUETA TIPO VINILO,,3.72,2752.8,38.233333333333334,AMARILLO
340ET2,ETIQUETA,ELGART,1,128,ETIQUETA TIPO VINILO,,3.72,2752.8,21.50625,AMARILLO
342,LAMPARAS,CENTURION,,70,,,10320.07,15222103.25,217458.61785714285,VERDE
343CAJ,CAJA,R. WAGNER,,1,CAJA FRESA,2024-01-03,,306.5,306.5,ROJO
343ETF,ETIQUETA,ELGART,1,112,ETIQUETA TIPO VINILO,,3.72,2752.8,24.57857142857143,AMARILLO
343ETD,ETIQUETA,ELGART,1,20,ETIQUETA DORSO,,3.72,2752.8,137.64000000000001,AMARILLO
343,FRESAS,HEAD,,1,Fsa Abras Delic p/ remocion de esmaltado,,6.76,12805.328279300165,12805.328279300165,VERDE
344,FRESAS,HEAD,,1,Fsa Abras Fina p/ Remosion de esmaltado,,6.76,12805.328279300165,12805.328279300165,VERDE
345,FRESAS,HEAD,,1,Fsa. Abras Media p/ Remosion de esmaltado grueso,,6.76,12805.328279300165,12805.328279300165,VERDE
346,FRESAS,HEAD,,1,Fsa Abras Gr p/ corte o Remosion de Geles,,7.38,14822.450787012935,14822.450787012935,VERDE
347,FRESAS,HEAD,,1,Fsa Abras Gr p/ corte o Desbaratar Acrilicos,,7.38,14822.450787012935,14822.450787012935,VERDE
348,FRESAS,IQ DENT,,1,Fsa Abras Media p/ Perfilar superficie,,4.75,6887.5,6887.5,VERDE
349,FRESAS,HEAD,,1,Fsa Gramaje Grueso de Diamante cilindrico,,3.69,5756.731651225207,5756.731651225207,VERDE
350,FRESAS,IQ DENT,,1,Fsa Gramaje Medio de Diamante cilindrico,,,4289.3972786132135,4289.3972786132135,VERDE
351,FRESAS,HEAD,,1,Fsa Gramaje Fino de Diamante cilindrico,,1.04,2039.7868055522388,2039.7868055522388,VERDE
352,FRESAS,IQ DENT,,1,Fresa Gramaje Fino de Diamante Cono,,0.95,1377.5,1377.5,VERDE
353,FRESAS,IQ DENT,,1,Fresa Gramaje Medio. Cono truncado,,0.95,1377.5,1377.5,VERDE
354,FRESAS,HEAD,,1,Fsa Gramaje Fino de Diamante cilindrico,,1.04,5756.731651225207,5756.731651225207,VERDE
356,FRESAS,HEAD,,1,,,5.25,9383.019305540298,9383.019305540298,VERDE
357,FRESAS,HEAD,,1,,,5.25,9383.019305540298,9383.019305540298,VERDE
358,FRESAS,HEAD,,1,,,7.38,15253.072445962853,15253.072445962853,VERDE
359,FRESAS,HEAD,,1,,,6.76,12805.328279300165,12805.328279300165,VERDE
355REM,REMERA,VANSKAP WEAR,,,"REMERA CLASICA HOMBRE, NEGRO, S",,0,520.661,520.661,VERDE
356REM,REMERA,VANSKAP WEAR,,,"REMERA CLASICA HOMBRE, BLANCO, S",,0,520.661,520.661,VERDE
357REM,REMERA,VANSKAP WEAR,,,"REMERA CLASICA HOMBRE, NEGRO, M",,0,520.661,520.661,VERDE
358REM,REMERA,VANSKAP WEAR,,,"REMERA CLASICA HOMBRE, BLANCO, M",,0,520.661,520.661,VERDE
359REM,REMERA,VANSKAP WEAR,,,"REMERA CLASICA HOMBRE, NEGRO, L",,0,520.661,520.661,VERDE
360REM,REMERA,VANSKAP WEAR,,,"REMERA CLASICA HOMBRE, NEGRO, XL",,0,520.661,520.661,VERDE
361REM,REMERA,VANSKAP WEAR,,,"REMERA ESCOTE REDONDO, NEGRO, S",,0,446.281,446.281,VERDE
362REM,REMERA,VANSKAP WEAR,,,"REMERA ESCOTE REDONDO, BLANCO, S",,0,446.281,446.281,VERDE
363REM,REMERA,VANSKAP WEAR,,,"REMERA ESCOTE REDONDO, NEGRO, M",,0,446.281,446.281,VERDE
364REM,REMERA,VANSKAP WEAR,,,"REMERA ESCOTE REDONDO, BLANCO, M",,0,446.281,446.281,VERDE
365REM,REMERA,VANSKAP WEAR,,,"REMERA ESCOTE REDONDO, NEGRO, L",,0,446.281,446.281,VERDE
366REM,REMERA,VANSKAP WEAR,,,"REMERA ESCOTE V MUJER, NEGRO, S",,0,446.281,446.281,VERDE
367REM,REMERA,VANSKAP WEAR,,,"REMERA ESCOTE V MUJER, NEGRO, M",,0,446.281,446.281,VERDE
368REM,REMERA,VANSKAP WEAR,,,"REMERA ESCOTE V MUJER, NEGRO, L",,0,446.281,446.281,VERDE
369REM,REMERA,VANSKAP WEAR,,,"REMERA ESCOTE V MUJER, NEGRO, XL",,0,446.281,446.281,VERDE
370REM,CROP TOP,VANSKAP WEAR,,,"CROP TOP, NEGRO, M",,0,421.488,421.488,VERDE
371REM,CROP TOP,VANSKAP WEAR,,,"CROP TOP, BLANCO, M",,0,421.488,421.488,VERDE
364ENV,ENVASE,PIROPLAST,250,1,ENVASE SEVILLA HD 250ml. Cristal 24-410,2024-06-06,0.162,238.95000000000002,238.95000000000002,ROJO
364TAP,TAPA,ENTAPLAST,CAJA,2400,TAPA DISK TOP 24/410 CRISTAL,2023-12-15,,44.8,44.8,ROJO
370CREMA,CREMA,EVIDENS,,,CREMA HUMECTANTE AMOR,2025-12-19,,5890,5890,VERDE
371CREMA,CREMA,EVIDENS,,,CREMA HUMECTANTE AIRE,2025-12-19,,5890,5890,VERDE
372CREMA,CREMA,EVIDENS,,,CREMA HUMECTANTE PAZ,2025-12-19,,5890,5890,VERDE
364CRE,CREMA,EVIDENS,,,CREMA EXFOLIANTE 240ml. + MO,2024-10-29,,1885,1885,VERDE
364ET,ETIQUETA,DARACT,,,ETIQUETA EXFOLIANTE AMOR 240ml.,2024-01-26,,90.55,90.55,AMARILLO
365ET,ETIQUETA,DARACT,,,ETIQUETA EXFOLIANTE AIRE 240ml.,2024-01-26,,90.55,90.55,AMARILLO
366ET,ETIQUETA,DARACT,,,ETIQUETA EXFOLIANTE PAZ 240ml.,2024-01-26,,90.55,90.55,AMARILLO
364ETD,ETIQUETA,DARACT,,,ETIQUETA DORSO EXFOLIANTE AMOR 240ml.,2024-01-26,,71.15,71.15,AMARILLO
364CREMA,CREMA,EVIDENS,,,CREMA EXFOLIANTE AMOR (MATERIA PRIMA),2025-12-19,,5890,5890,VERDE
365CREMA,CREMA,EVIDENS,,,CREMA EXFOLIANTE AIRE (MATERIA PRIMA),2025-12-19,,5890,5890,VERDE
366CREMA,CREMA,EVIDENS,,,CREMA EXFOLIANTE PAZ (MATERIA PRIMA),2025-12-19,,5890,5890,VERDE
365ETD,ETIQUETA,DARACT,,,ETIQUETA DORSO EXFOLIANTE AIRE 240ml.,2024-01-26,,71.15,71.15,AMARILLO
366ETD,ETIQUETA,DARACT,,,ETIQUETA DORSO EXFOLIANTE PAZ 240ml.,2024-01-26,,71.15,71.15,AMARILLO
370CRE,CREMA,EVIDENS,,,CREMA HUMECTANTE 240ml. + MO,2025-10-29,,1755,1755,VERDE
370BOM,CREMERA,VABARLIN,,,Cremera Transparente 24/410,2023-12-15,0.135,199.125,199.125,ROJO
370ET,ETIQUETA,DARACT,,,ETIQUETA HUMECTANTE AMOR 240ml.,2024-01-26,,90.55,90.55,AMARILLO
371ET,ETIQUETA,DARACT,,,ETIQUETA HUMECTANTE AIRE 240ml.,2024-01-26,,90.55,90.55,AMARILLO
372ET,ETIQUETA,DARACT,,,ETIQUETA HUMECTANTE PAZ 240ml.,2024-01-26,,90.55,90.55,AMARILLO
370ETD,ETIQUETA,DARACT,,,ETIQUETA DORSO HUMECTANTE AMOR 240ml.,2024-01-26,,71.15,71.15,AMARILLO
371ETD,ETIQUETA,DARACT,,,ETIQUETA DORSO HUMECTANTE AIRE 240ml.,2024-01-26,,71.15,71.15,AMARILLO
372ETD,ETIQUETA,DARACT,,,ETIQUETA DORSO HUMECTANTE PAZ 240ml.,2024-01-26,,71.15,71.15,AMARILLO
367ENV,ENVASE,PIROPLAST,100,1,ENVASE SEVILLA 100ml. Cristal 20-410,2024-06-06,0.105,154.875,154.875,ROJO
367TAP,TAPA,ENTAPLAST,CAJA,3400,TAPA FLIT TOP 20/410 CRISTAL,2025-02-12,,57.02,57.02,ROJO
367CRE,CREMA,EVIDENS,,,CREMA EXFOLIANTE 100ml. + MO,2023-12-26,,1130,1130,VERDE
367ET,ETIQUETA,DARACT,,,ETIQUETA EXFOLIANTE AMOR 100ml.,2024-01-26,,71.15,71.15,AMARILLO
368ET,ETIQUETA,DARACT,,,ETIQUETA EXFOLIANTE AIRE 100ml.,2024-01-26,,71.15,71.15,AMARILLO
369ET,ETIQUETA,DARACT,,,ETIQUETA EXFOLIANTE PAZ 100ml.,2024-01-26,,71.15,71.15,AMARILLO
367ETD,ETIQUETA,DARACT,,,ETIQUETA DORSO EXFOLIANTE AMOR 100ml.,2024-01-26,,71.15,71.15,AMARILLO
368ETD,ETIQUETA,DARACT,,,ETIQUETA DORSO EXFOLIANTE AIRE 100ml.,2024-01-26,,71.15,71.15,AMARILLO
369ETD,ETIQUETA,DARACT,,,ETIQUETA DORSO EXFOLIANTE PAZ 100ml.,2024-01-26,,71.15,71.15,AMARILLO
373CRE,CREMA,EVIDENS,,,CREMA HUMECTANTE 100ml. + MO,2023-12-26,,965,965,VERDE
373ET,ETIQUETA,DARACT,,,ETIQUETA HUMECTANTE AMOR 100ml.,2024-01-26,,71.15,71.15,AMARILLO
374ET,ETIQUETA,DARACT,,,ETIQUETA HUMECTANTE AIRE 100ml.,2024-01-26,,71.15,71.15,AMARILLO
375ET,ETIQUETA,DARACT,,,ETIQUETA HUMECTANTE PAZ 100ml.,2024-01-26,,71.15,71.15,AMARILLO
373ETD,ETIQUETA,DARACT,,,ETIQUETA DORSO HUMECTANTE AMOR 100ml.,2024-01-26,,71.15,71.15,AMARILLO
374ETD,ETIQUETA,DARACT,,,ETIQUETA DORSO HUMECTANTE AIRE 100ml.,2024-01-26,,71.15,71.15,AMARILLO
375ETD,ETIQUETA,DARACT,,,ETIQUETA DORSO HUMECTANTE PAZ 100ml.,2024-01-26,,71.15,71.15,AMARILLO
378AC,ACEITE,EVIDENS,,,ACEITE DE CUT 33ml. + MO,2023-12-26,,1304.25,1304.25,VERDE
378ACE,ACEITE,EVIDENS,,1 litro,ACEITE AMOR MATERIA PRIMA,2026-02-18,,23500,23500,VERDE
378ET,ETIQUETA,DARACT,,,ETIQUETA ACEITE AMOR 33ml.,2024-01-26,,36.86,36.86,AMARILLO
379ET,ETIQUETA,DARACT,,,ETIQUETA ACEITE AIRE 33ml.,2024-01-26,,36.86,36.86,AMARILLO
380ET,ETIQUETA,DARACT,,,ETIQUETA ACEITE PAZ 33ml.,2024-01-26,,36.86,36.86,AMARILLO
378ETD,ETIQUETA,DARACT,,,ETIQUETA DORSO ACEITE AMOR 33ml.,2024-01-26,,36.86,36.86,AMARILLO
379ETD,ETIQUETA,DARACT,,,ETIQUETA DORSO ACEITE AIRE 33ml.,2024-01-26,,36.86,36.86,AMARILLO
380ETD,ETIQUETA,DARACT,,,ETIQUETA DORSO ACEITE PAZ 33ml.,2024-01-26,,36.86,36.86,AMARILLO
381AC,ACEITE,EVIDENS,,,ACEITE DE CUT 8ml. + MO,2024-09-23,,765,765,VERDE
381ET,ETIQUETA,DARACT,,,ETIQUETA ACEITE AMOR 8ml.,2024-01-26,,18.48,18.48,AMARILLO
382ET,ETIQUETA,DARACT,,,ETIQUETA ACEITE AIRE 8ml.,2024-01-26,,18.48,18.48,AMARILLO
383ET,ETIQUETA,DARACT,,,ETIQUETA ACEITE PAZ 8ml.,2024-01-26,,18.48,18.48,AMARILLO
381ETD,ETIQUETA,DARACT,,,ETIQUETA DORSO ACEITE AMOR 8ml.,2024-01-26,,36.86,36.86,AMARILLO
382ETD,ETIQUETA,DARACT,,,ETIQUETA DORSO ACEITE AIRE 8ml.,2024-01-26,,36.86,36.86,AMARILLO
383ETD,ETIQUETA,DARACT,,,ETIQUETA DORSO ACEITE PAZ 8ml.,2024-01-26,,36.86,36.86,AMARILLO
249MO,ACEITE,EVIDENS,,,ACEITE DE CUT 5ml. + MO,2024-11-11,,35.035,35.035,VERDE
249ET,ETIQUETA,ELGART,1,80,ETIQUETA MUESTRA ACEITE AMOR 5cc,,3.72,2752.8,34.410000000000004,AMARILLO
384MO,CLEANSER,ACRILAB,,,CLEANSER 100ml. + MO,2022-10-28,1.2396694214876034,1828.512396694215,1828.512396694215,VERDE
385MO,CLEANSER,ACRILAB,,,CLEANSER 250ml. + MO,2022-10-28,1.9834710743801653,2925.619834710744,2925.619834710744,VERDE
386MO,CLEANSER,ACRILAB,,,CLEANSER 1Lt. + MO,2022-10-28,6.6115702479338845,9752.066115702479,9752.066115702479,VERDE
384ET,ETIQUETA,QUILMES,,,ETIQUETA CLEANSER 100ml.,2024-06-18,,80,80,AMARILLO
385ET,ETIQUETA,QUILMES,,,ETIQUETA CLEANSER 250ml.,2024-06-18,,80,80,AMARILLO
386ET,ETIQUETA,QUILMES,,,ETIQUETA CLEANSER 1lt.,2024-06-18,,80,80,AMARILLO
387MO,PRIMER ACIDO,ACRILAB,,,PRIMER ACIDO + MO,2022-11-18,1.322314049586777,1950.413223140496,1950.413223140496,VERDE
387ENV,ENVASE,OMACRI+DE LISSI,,,ENVASE CUADRADO TRANSP+PINTURA MATE,2022-02-18,,129.6,129.6,ROJO
387PIN,PINCEL,O'MACRI,,1,PINCEL LARGO PELO CORTO,2024-11-20,,58.300000000000004,58.300000000000004,ROJO
387ET,ETIQUETA,DARACT,,,ETIQUETA FRENTE PRIMER ACIDO,2024-01-26,,19.84,19.84,AMARILLO
387ETD,ETIQUETA,DARACT,,,ETIQUETA DORSO PRIMER ACIDO,2024-01-26,,19.84,19.84,AMARILLO
411,HERRAMIENTAS,HEAD,,,Corta cutículas premium profesional 3mm,2022-09-22,14.647081941857373,27178.725908900073,27178.725908900073,VERDE
412,HERRAMIENTAS,HEAD,,,Corta cutículas premium profesional 5mm,2022-09-22,14.647081941857373,27178.725908900073,27178.725908900073,VERDE
413,HERRAMIENTAS,HEAD,,,Corta cutículas premium profesional 7mm,,,27178.725908900073,27178.725908900073,VERDE
414,HERRAMIENTAS,HEAD,,,Corta cutículas profesional 3mm,2022-09-22,8.813612077567855,17418.193313058284,17418.193313058284,VERDE
415,HERRAMIENTAS,HEAD,,,Corta cutículas profesional 5mm,,,17418.193313058284,17418.193313058284,VERDE
416,HERRAMIENTAS,HEAD,,,Corta cutículas profesional 7mm,,,17418.193313058284,17418.193313058284,VERDE
421,HERRAMIENTAS,HEAD,,,Empujador de cutículas profesional angular-recto,2022-09-22,3.7410295868813197,8441.189710001956,8441.189710001956,VERDE
422,HERRAMIENTAS,HEAD,,,Empujador de cutículas profesional redondo-punta,2022-09-22,3.7410295868813197,8441.189710001956,8441.189710001956,VERDE
431,HERRAMIENTAS,HEAD,,,Tijera para Manicuría Profesional 21mm,,,14501.456007922854,14501.456007922854,VERDE
432,HERRAMIENTAS,HEAD,,,Tijera para Manicuría Profesional 18mm,,,14501.456007922854,14501.456007922854,VERDE
450MO,POLVO + MO,ACRILAB,,,STARDUST BLUE 5gr. + MO,2022-11-18,0.6611570247933884,975.206611570248,975.206611570248,VERDE
450ENV,ENVASE,DANO,,,ENVASE 8ML COLECCION TAPA NEGRA,2022-06-06,0.26,400.40000000000003,400.40000000000003,ROJO
450RES,RESINA,SERVIFIBRAS,,,RESINA PARA TAPA,2022-10-05,,6776.86,6776.86,ROJO
450ETF,ETIQUETA,DARACT,,,ETIQ FRENTE STARDUST BLUE 5gr.,2024-01-26,,96.53,96.53,AMARILLO
450ETD,ETIQUETA,DARACT,,,ETIQ DORSO STARDUST BLUE 5gr.,2024-01-26,,100.16,100.16,AMARILLO
450ETL,ETIQUETA,DARACT,,,ETIQ LATERAL STARDUST BLUE 5gr.,2024-01-26,,28.55,28.55,AMARILLO
451MO,POLVO + MO,ACRILAB,,,STARDUST GREEN 5gr.,2022-11-18,0.6611570247933884,975.206611570248,975.206611570248,VERDE
451ETF,ETIQUETA,DARACT,,,ETIQ FRENTE STARDUST GREEN 5gr.,2024-01-26,,96.53,96.53,AMARILLO
451ETD,ETIQUETA,DARACT,,,ETIQ DORSO STARDUST GREEN 5gr.,2024-01-26,,100.16,100.16,AMARILLO
451ETL,ETIQUETA,DARACT,,,ETIQ LATERAL STARDUST GREEN 5gr.,2024-01-26,,28.55,28.55,AMARILLO
452MO,POLVO + MO,ACRILAB,,,STARDUST PINK 5gr. + MO,2022-11-18,0.6611570247933884,975.206611570248,975.206611570248,VERDE
452ETF,ETIQUETA,DARACT,,,ETIQ FRENTE STARDUST PINK 5gr.,2024-01-26,,96.53,96.53,AMARILLO
452ETD,ETIQUETA,DARACT,,,ETIQ DORSO STARDUST PINK 5gr.,2024-01-26,,100.16,100.16,AMARILLO
452ETL,ETIQUETA,DARACT,,,ETIQ LATERAL STARDUST PINK 5gr.,2024-01-26,,28.55,28.55,AMARILLO
453MO,POLVO + MO,ACRILAB,,,STARDUST LILA 5gr. + MO,2022-11-18,0.6611570247933884,975.206611570248,975.206611570248,VERDE
453ETF,ETIQUETA,DARACT,,,ETIQ FRENTE STARDUST LILA 5gr.,2024-01-26,,96.53,96.53,AMARILLO
453ETD,ETIQUETA,DARACT,,,ETIQ DORSO STARDUST LILA 5gr.,2024-01-26,,100.16,100.16,AMARILLO
453ETL,ETIQUETA,DARACT,,,ETIQ LATERAL STARDUST LILA 5gr.,2024-01-26,,28.55,28.55,AMARILLO
